key,min,max,mean,stdev,range
case10_multi_turn|code,30,38,33.33,3.44,8
case10_multi_turn|json,54,64,57.5,3.73,10
case10_multi_turn|llmlingua2,11,13,11.33,0.82,2
case10_multi_turn|natural,25,29,26.17,1.47,4
case10_multi_turn|nl_json,30,35,31.67,1.86,5
case1_multi_constraint|code,20,25,21.67,1.97,5
case1_multi_constraint|json,40,51,42.83,4.17,11
case1_multi_constraint|llmlingua2,5,8,6.83,0.98,3
case1_multi_constraint|natural,17,20,18.17,0.98,3
case1_multi_constraint|nl_json,23,26,23.67,1.21,3
case2_negation|code,19,22,20.17,1.47,3
case2_negation|json,47,54,48.5,2.81,7
case2_negation|llmlingua2,5,8,5.83,1.33,3
case2_negation|natural,15,18,15.83,1.33,3
case2_negation|nl_json,20,24,21.33,1.75,4
case3_detail|code,20,28,22.83,3.13,8
case3_detail|json,27,34,28.83,2.64,7
case3_detail|llmlingua2,4,7,5.17,0.98,3
case3_detail|natural,14,20,16,2.28,6
case3_detail|nl_json,19,26,21.5,2.74,7
case5_tool_branch|code,10,12,10.83,0.98,2
case5_tool_branch|json,28,35,29.33,2.8,7
case5_tool_branch|llmlingua2,4,5,4.17,0.41,1
case5_tool_branch|natural,12,14,12.67,0.82,2
case5_tool_branch|nl_json,17,20,18.17,1.33,3
case6_nested_constraint|code,36,46,38.67,3.78,10
case6_nested_constraint|json,71,86,74.17,5.88,15
case6_nested_constraint|llmlingua2,13,20,16.17,2.4,7
case6_nested_constraint|natural,30,38,34,2.68,8
case6_nested_constraint|nl_json,36,44,39.5,2.81,8
case7_parallel_action|code,15,19,17,1.9,4
case7_parallel_action|json,32,45,36.5,4.81,13
case7_parallel_action|llmlingua2,6,6,6,0.0,0
case7_parallel_action|natural,15,17,16.33,0.82,2
case7_parallel_action|nl_json,21,23,21.83,0.98,2
case8_conditional_branch|code,22,28,24,2.45,6
case8_conditional_branch|json,57,72,61.5,5.54,15
case8_conditional_branch|llmlingua2,8,11,9.17,0.98,3
case8_conditional_branch|natural,19,23,20,1.55,4
case8_conditional_branch|nl_json,24,29,25.5,1.97,5
case9_tool_call|code,32,39,33.83,2.79,7
case9_tool_call|json,59,75,62.33,6.28,16
case9_tool_call|llmlingua2,9,14,10,2.0,5
case9_tool_call|natural,24,30,25.67,2.34,6
case9_tool_call|nl_json,29,36,31.17,2.79,7
