case_id,condition,first_pass,elapsed,judge
case10_multi_turn,original,True,8.6,dual
case10_multi_turn,shuffled,True,12.8,dual
case10_multi_turn,skeleton,False,17.0,dual
case10b_multi_turn,original,True,7.6,dual
case10b_multi_turn,shuffled,True,16.4,dual
case10b_multi_turn,skeleton,False,18.9,dual
case10c_multi_turn,original,True,4.9,dual
case10c_multi_turn,shuffled,True,5.3,dual
case10c_multi_turn,skeleton,False,6.4,dual
case1_multi_constraint,original,True,13.5,dual
case1_multi_constraint,shuffled,True,9.1,dual
case1_multi_constraint,skeleton,False,10.6,dual
case1b_multi_constraint,original,True,17.0,dual
case1b_multi_constraint,shuffled,True,8.8,dual
case1b_multi_constraint,skeleton,False,3.4,dual
case1c_multi_constraint,original,True,14.0,dual
case1c_multi_constraint,shuffled,True,12.0,dual
case1c_multi_constraint,skeleton,False,11.3,dual
case2_negation,original,True,5.9,dual
case2_negation,shuffled,True,15.9,dual
case2_negation,skeleton,False,24.2,dual
case2b_negation,original,True,11.4,dual
case2b_negation,shuffled,False,9.3,dual
case2b_negation,skeleton,False,12.6,dual
case2c_negation,original,True,7.2,dual
case2c_negation,shuffled,False,15.9,dual
case2c_negation,skeleton,False,3.3,dual
case3_detail,original,True,9.3,dual
case3_detail,shuffled,True,9.0,dual
case3_detail,skeleton,False,9.3,dual
case3b_detail,original,True,15.6,dual
case3b_detail,shuffled,True,6.0,dual
case3b_detail,skeleton,False,12.4,dual
case3c_detail,original,True,12.3,dual
case3c_detail,shuffled,True,10.2,dual
case3c_detail,skeleton,False,6.1,dual
case5_tool_branch,original,True,11.4,dual
case5_tool_branch,shuffled,True,14.2,dual
case5_tool_branch,skeleton,False,7.9,dual
case5b_tool_branch,original,True,14.1,dual
case5b_tool_branch,shuffled,True,5.8,dual
case5b_tool_branch,skeleton,False,17.8,dual
case5c_tool_branch,original,True,9.1,dual
case5c_tool_branch,shuffled,True,14.6,dual
case5c_tool_branch,skeleton,False,17.3,dual
case6_nested_constraint,original,True,10.3,dual
case6_nested_constraint,shuffled,True,23.0,dual
case6_nested_constraint,skeleton,False,4.4,dual
case6b_nested_constraint,original,True,13.8,dual
case6b_nested_constraint,shuffled,True,12.5,dual
case6b_nested_constraint,skeleton,False,9.9,dual
case6c_nested_constraint,original,True,9.3,dual
case6c_nested_constraint,shuffled,True,32.6,dual
case6c_nested_constraint,skeleton,False,9.2,dual
case7_parallel_action,original,True,28.2,dual
case7_parallel_action,shuffled,False,8.4,dual
case7_parallel_action,skeleton,False,12.2,dual
case7b_parallel_action,original,False,12.8,dual
case7b_parallel_action,shuffled,False,8.7,dual
case7b_parallel_action,skeleton,False,7.5,dual
case7c_parallel_action,original,False,11.8,dual
case7c_parallel_action,shuffled,False,19.9,dual
case7c_parallel_action,skeleton,False,10.4,dual
case8_conditional_branch,original,True,11.4,dual
case8_conditional_branch,shuffled,False,10.5,dual
case8_conditional_branch,skeleton,False,9.0,dual
case8b_conditional_branch,original,False,13.0,dual
case8b_conditional_branch,shuffled,False,13.6,dual
case8b_conditional_branch,skeleton,False,15.1,dual
case8c_conditional_branch,original,True,13.3,dual
case8c_conditional_branch,shuffled,False,9.6,dual
case8c_conditional_branch,skeleton,False,20.3,dual
case9_tool_call,original,True,8.3,dual
case9_tool_call,shuffled,False,10.5,dual
case9_tool_call,skeleton,False,11.8,dual
case9b_tool_call,original,True,10.3,dual
case9b_tool_call,shuffled,True,15.6,dual
case9b_tool_call,skeleton,False,16.7,dual
case9c_tool_call,original,True,16.6,dual
case9c_tool_call,shuffled,False,9.9,dual
case9c_tool_call,skeleton,False,9.6,dual
